,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,ATT,QZ1,QZ2,QZ3,QZ4,EX1,EX2,Test1,Test2,Lab,Homework,Quiz,Overall,Grade
189,75,100,100,100,100,95,100,100,100,12,100,88.88888889,82.5,100,66.4,76.05,83,84.5,100,99.375,90.46296296,85.67444444,B
190,67.5,80,77.5,47.5,100,80,76,77.5,80,12,83.33333333,77.77777778,75,80,44,64.35,55,71.5,100,77.3125,77.59259259,69.72013889,C-
191,73.5,70,92.5,80,100,97,90,100,96,12,66.66666667,61.11111111,75,85,65.6,73.8,82,82,100,90.6875,73.7037037,79.83180556,B-
192,75,90,95,70,85,85,0,62.5,100,12,83.33333333,88.88888889,40,80,59.2,68.4,74,76,100,73.4375,69.62962963,71.41569444,C
193,70,97.5,100,70,100,100,97,95,85,12,91.66666667,50,80,70,61.2,64.8,76.5,72,100,93.0625,66.66666667,76.35875,C
194,82.5,100,100,100,97,100,100,90,75,12,91.66666667,72.22222222,65,80,62.4,57.15,78,63.5,100,95.25,72.40740741,76.20361111,C
195,91.5,97.5,98,90,92,95,62,95,90,12,66.66666667,44.44444444,90,90,64,65.25,80,72.5,100,89.9375,74.81481481,77.31597222,C
196,100,72.5,100,100,100,99,97,100,100,12,66.66666667,100,85,50,66.4,67.5,83,75,100,96.0625,78.33333333,80.72375,B-
197,95,100,100,100,100,89,98,85,100,12,91.66666667,66.66666667,60,80,52.8,63.9,66,71,100,96.5,68.88888889,75.81833333,C
198,62.5,0,0,0,65,76,71,90,97.5,9,0,44.44444444,55,100,68,34.2,85,38,75,49.9375,66.48148148,54.60347222,D
199,52.5,55,85,67.5,90,78,92,80,80,12,50,72.22222222,0,85,52,54.45,65,60.5,100,78.4375,52.40740741,65.40486111,C-
200,92.5,97.5,0,85,90,76,81,90,80,12,91.66666667,50,60,75,69.6,78.3,87,87,100,74.9375,61.66666667,75.22625,C
201,100,100,92.5,90,100,99,90,95,100,12,100,100,85,90,70.4,80.1,88,89,100,95.8125,91.66666667,86.59875,B+
202,82,100,87.5,90,100,96,100,80,95,11,75,72.22222222,55,75,55.2,57.6,69,64,91.66666667,93.5625,67.40740741,72.78652778,C
203,72.5,95,100,80,100,76,100,90,70,12,91.66666667,100,100,100,68.8,81,86,90,100,88.875,100,85.6725,B
204,82.5,85,95,90,100,95,87,85,85,12,91.66666667,88.88888889,70,100,59.2,71.1,74,79,100,90.25,86.2962963,79.63444444,B-
205,89.5,100,100,70,100,0,97,100,98,10,75,72.22222222,70,75,56,56.7,70,63,83.33333333,83.125,72.40740741,69.50694444,C-
206,95,75,100,100,100,99,85,85,100,12,50,55.55555556,50,95,60.8,51.3,76,57,100,93,66.85185185,72.91277778,C
207,92.5,100,100,100,100,100,100,100,100,12,66.66666667,61.11111111,80,90,66.4,66.6,83,74,100,100,77.03703704,81.48555556,B-
208,92.5,0,92.5,95,100,95,0,0,80,9,83.33333333,0,35,60,55.2,41.4,69,46,75,57.8125,31.66666667,50.98375,D
209,67,0,47.5,90,100,59,59,80,98,12,91.66666667,88.88888889,85,90,63.2,70.65,79,78.5,100,66.6875,87.96296296,73.50319444,C
210,90,90,90,90,0,0,0,0,0,6,50,0,35,0,66.24,12.6,82.8,14,50,33.75,11.66666667,33.273,F
211,90,80,80,60,71.25,95,95,100,90,12,66.66666667,77.77777778,65,75,63.2,61.65,79,68.5,100,83.90625,72.59259259,74.11326389,C
212,0,0,82.5,75,90,0,87,0,80,10,75,0,50,90,30.4,27,38,30,83.33333333,51.8125,46.66666667,43.70708333,F
213,77.5,100,92.5,65,90,78,97,95,80,12,70.83333333,55.55555556,85,90,40.8,65.7,51,73,100,87.1875,76.85185185,72.26902778,C
214,90,77.5,100,90,100,83,100,100,100,12,50,50,80,35,54.4,58.05,68,64.5,100,93.8125,55,71.78625,C
215,85,100,100,95,100,96,88,90,85,12,91.66666667,100,70,85,68,73.35,85,81.5,100,94.25,85,82.9625,B
216,100,100,100,90,94,98,97,85,91,12,83.33333333,77.77777778,55,80,70.4,65.7,88,73,100,94.375,70.92592593,79.45638889,C+
217,75,85,92.5,55,51,68,76,80,80,12,66.66666667,50,50,85,68.8,63,86,70,100,73.4375,61.66666667,70.79125,C
218,88.5,0,0,100,85,99,90,85,79,12,91.66666667,88.88888889,65,95,68.8,69.3,86,77,100,67.25,82.96296296,73.70444444,C
219,77.5,100,92.5,90,95,97,100,90,0,11,100,66.66666667,85,95,61.6,81.9,77,91,91.66666667,83.0625,82.22222222,79.21375,C+
220,72.5,100,100,95,100,83,88,60,85,12,91.66666667,72.22222222,75,90,71.2,74.7,89,83,100,88.875,79.07407407,81.43861111,B-
221,55,92.5,92.5,97.5,75,77,100,85,85,12,41.66666667,77.77777778,52.5,95,60.8,70.65,76,78.5,100,88.0625,75.09259259,77.50513889,C+
222,90,90,90,90,90,93,67,0,0,11,75,100,0,0,69.6,61.2,87,68,91.66666667,65,33.33333333,62.88666667,C-
223,67.5,67.5,95,77.5,100,87.5,70,90,85,7,33.33333333,0,25,45,68.8,62.1,86,69,58.33333333,84.0625,23.33333333,63.83708333,C-
224,73.5,80,100,100,90,89,94,90,0,12,66.66666667,77.77777778,75,85,63.2,60.75,79,67.5,100,80.375,79.25925926,73.82888889,C
225,92.5,100,100,30,100,100,100,85,75,12,91.66666667,27.77777778,0,100,63.6,44.1,79.5,49,100,86.25,42.59259259,66.00888889,C-
226,65,50,72.5,90,80,0,0,62.5,0,8,83.33333333,72.22222222,50,0,65.6,63.45,82,70.5,66.66666667,44.375,40.74074074,55.07277778,D
227,92.5,100,100,90,100,99,99,87.5,100,12,58.33333333,88.88888889,80,55,48.8,53.1,61,59,100,96.9375,74.62962963,73.31069444,C
228,88.5,92.5,95,60,85,0,0,100,0,11,58.33333333,0,40,35,56.8,49.95,71,55.5,91.66666667,54.0625,25,52.98291667,D
229,72.5,100,77.5,45,89,90,90,75,65,12,54.16666667,55.55555556,75,65,57.6,54,72,60,100,78.9375,65.18518519,68.47902778,C-
230,87.5,100,82.5,90,100,90,100,80,85,12,58.33333333,72.22222222,30,55,61.6,24.3,77,27,100,90.9375,52.40740741,63.53736111,C-
231,77.5,77.5,95,100,99,92,80,87.5,85,11,33.33333333,44.44444444,65,60,61.6,44.1,77,49,91.66666667,89.5,56.48148148,67.83388889,C-
232,73.5,72.5,60,0,80,0,0,60,0,11,66.66666667,55.55555556,40,0,68,49.5,85,55,91.66666667,34.0625,31.85185185,50.13819444,D
233,100,85,92.5,100,90,99,0,100,100,12,66.66666667,100,100,85,61.2,80.1,76.5,89,100,83.3125,95,81.50875,B-
234,94,100,100,100,100,98,100,100,100,12,100,83.33333333,70,85,71.2,77.85,89,86.5,100,99.75,79.44444444,85.54416667,B
235,97.5,100,97.5,100,100,86,100,90,100,12,91.66666667,100,65,90,62.4,80.1,78,89,100,96.6875,85,84.26125,B
236,94.5,97,96,100,80,100,97,100,100,12,75,83.33333333,50,100,64,68.85,80,76.5,100,96.25,77.77777778,80.55416667,B-
237,92.5,100,100,98,100,98,86,100,98,12,100,83.33333333,50,80,66.4,72,83,80,100,97.5,71.11111111,81.19666667,B-
238,100,100,100,65,95,94,100,95,100,12,100,55.55555556,80,90,70.4,80.1,88,89,100,93.625,75.18518519,83.47027778,B
239,100,85,100,100,100,99,97,80,95,12,100,100,95,100,80,84.6,100,94,100,94.5,98.33333333,90.25,A
240,92.5,100,97.5,80,95,100,90,100,70,12,100,100,85,100,79.2,88.2,99,98,100,91.5625,95,89.60875,A-
241,95,85,100,70,0,99,95,95,100,12,91.66666667,72.22222222,50,90,77.6,86.4,97,96,100,80.5,70.74074074,81.88111111,B-
242,92.5,100,95,100,100,90,100,85,97.5,12,25,33.33333333,20,65,31.2,20.7,39,23,100,95.9375,39.44444444,56.11291667,D
243,92.5,100,97.5,100,100,99,92,100,85,12,91.66666667,88.88888889,95,95,63.2,68.85,79,76.5,100,96.6875,92.96296296,82.80319444,B
244,87.5,87.5,100,60,95,72,70,80,0,12,83.33333333,61.11111111,60,0,62.4,62.1,78,69,100,70.5625,40.37037037,65.22930556,C-
245,80,0,77.5,20,0,37,67,50,85,10,33.33333333,16.66666667,30,40,50.4,58.5,63,65,83.33333333,42.0625,28.88888889,49.99041667,F
246,82.5,95,90,77.5,100,95,84,85,100,12,83.33333333,88.88888889,80,75,46.4,61.2,58,68,100,90.8125,81.2962963,74.01819444,C
247,82.5,97.5,75,50,42.5,86,61,85,100,12,58.33333333,61.11111111,35,80,55.2,49.95,69,55.5,100,74.625,58.7037037,64.72055556,C-
248,96,99,91.5,70,93,86,65,75,90,12,66.66666667,38.88888889,30,70,41.6,35.1,52,39,100,83.6875,46.2962963,59.14569444,D
249,75,85,100,100,100,99,90,90,80,11,91.66666667,83.33333333,95,95,70.4,82.8,88,92,91.66666667,93,91.11111111,85.51333333,B
250,92.5,100,100,90,100,99,100,95,100,12,91.66666667,77.77777778,75,65,66.4,70.2,83,78,100,98,72.59259259,81.11888889,B-
251,94.5,84,95,95,100,98,86,100,0,12,66.66666667,72.22222222,80,70,40.8,58.95,51,65.5,100,82.25,74.07407407,68.68361111,C-
252,72.5,77.5,0,75,85,0,0,0,65,10,0,27.77777778,35,35,19.2,18.45,24,20.5,83.33333333,37.8125,32.59259259,33.01847222,F
253,100,79,85,95,85,91,79,75,92,12,91.66666667,44.44444444,90,90,64,63.9,80,71,100,85.125,74.81481481,75.53472222,C
254,92.5,100,100,90,98,99,97,100,95,12,66.66666667,66.66666667,55,75,25.6,54.9,32,61,100,97.375,65.55555556,67.89083333,C-
255,100,100,90,100,100,94,100,100,0,11,100,77.77777778,75,0,72,72.9,90,81,91.66666667,85.5,50.92592593,75.08055556,C
256,93,73,100,88,100,96,80,95,95,10,100,50,65,60,76,65.25,95,72.5,83.33333333,90.875,58.33333333,75.85833333,C
257,100,85,97.5,100,95,0,89,90,90,11,79.16666667,94.44444444,50,85,49.6,66.6,62,74,91.66666667,80.8125,76.48148148,71.45263889,C
258,92.5,100,100,70,100,100,100,100,85,12,75,88.88888889,95,0,67.2,72.45,84,80.5,100,94.375,61.2962963,79.05944444,C+
259,92.5,92.5,90,90,100,90,100,90,85,12,83.33333333,72.22222222,85,100,63.2,86.4,79,96,100,92.1875,85.74074074,84.75736111,B
260,68,55.5,85,0,65,50,52,0,20,10,50,50,30,35,43.2,28.8,54,32,83.33333333,40.9375,38.33333333,42.20458333,F
261,92.5,92.5,100,90,100,100,100,0,80,12,95.83333333,100,0,100,70.4,78.3,88,87,100,82.8125,66.66666667,78.49875,C+
262,57.5,100,100,0,80,93,76,75,95,12,75,72.22222222,70,90,79.2,66.6,99,74,100,77.375,77.40740741,77.31361111,C
263,89.5,57,95,90,0,98,0,75,100,9,75,77.77777778,45,55,37.6,71.1,47,79,75,64.375,59.25925926,60.99638889,C-
264,89.5,79,97.5,100,90,99,100,100,99,12,100,88.88888889,75,90,68.8,85.95,86,95.5,100,95.5625,84.62962963,86.61069444,B+
265,75,100,92.5,100,100,99,100,90,100,12,83.33333333,88.88888889,95,100,77.6,77.4,97,86,100,97.6875,94.62962963,88.37069444,A-
266,87.5,92.5,90,80,90,80,89,90,55,12,75,77.77777778,80,100,52,71.1,65,79,100,83.3125,85.92592593,76.05763889,C
267,57.5,70,82.5,0,55,0,51,45,0,11,83.33333333,38.88888889,57.5,0,40,55.8,50,62,91.66666667,37.9375,32.12962963,47.31736111,F
268,52.5,77.5,97.5,50,95,80,79,90,50,12,66.66666667,38.88888889,65,90,46.4,52.65,58,58.5,100,77.375,64.62962963,65.34944444,C-
269,82.5,0,92.5,80,93,98,85,100,85,12,83.33333333,77.77777778,55,90,68.8,75.15,86,83.5,100,79.1875,74.25925926,77.44263889,C
270,62.5,70,87.5,60,100,80,84,95,80,12,41.66666667,88.88888889,65,75,42.4,63.9,53,71,100,82.0625,76.2962963,70.51819444,C
271,65,55,87.5,90,90,72,77,0,80,12,83.33333333,72.22222222,57.5,80,68,75.6,85,84,100,68.9375,69.90740741,73.66736111,C
272,85,90,90,20,95,85,97,75,80,12,58.33333333,27.77777778,50,30,59.52,57.6,74.4,64,100,79,35.92592593,65.39288889,C-
273,100,100,100,100,100,75,100,95,65,12,95.83333333,72.22222222,45,85,50.4,68.4,63,76,100,91.875,67.40740741,74.85361111,C
274,87.5,100,92.5,100,100,100,90,100,100,12,83.33333333,88.88888889,75,85,69.6,81,87,90,100,97.8125,82.96296296,85.95819444,B
275,92.5,70,85,80,100,97,79,100,85,12,83.33333333,100,95,100,76.8,68.4,96,76,100,87,98.33333333,83.31,B
276,62.5,80,75,100,95,95,100,85,100,12,75,100,80,75,56.8,53.55,71,59.5,100,91.25,85,74.8725,C
277,87,100,100,100,99,99,100,100,96,11,50,66.66666667,70,90,64,78.75,80,87.5,91.66666667,99.25,75.55555556,82.7625,B
278,60,75,100,0,100,94,100,90,100,10,50,33.33333333,25,40,69.6,44.55,87,49.5,83.33333333,82.375,32.77777778,63.02,C-
279,79,96.5,92.5,100,100,98,87,100,82,12,100,77.77777778,75,100,66.4,70.65,83,78.5,100,94.5,84.25925926,81.93138889,B-
280,87.5,97.5,95,90,90,88,100,60,100,12,66.66666667,83.33333333,67.5,0,68.8,70.2,86,78,100,90.0625,50.27777778,75.87041667,C
281,60,82.5,92.5,80,0,73,85.5,100,85,11,75,50,57.5,65,76.8,74.7,96,83,91.66666667,74.8125,57.5,74.27041667,C
282,90,100,100,100,95,99,100,95,100,12,100,100,80,90,64.8,72.9,81,81,100,98.625,90,84.2725,B
283,92.5,100,100,100,100,99,100,100,95,12,83.33333333,66.66666667,70,95,71.2,76.5,89,85,100,99.25,77.22222222,84.72333333,B
284,87.5,100,65,70,0,76,80,100,98,9,50,33.33333333,55,95,53.6,70.2,67,78,75,73.625,61.11111111,67.02416667,C-
285,0,85,100,100,100,99,100,97.5,100,12,66.66666667,77.77777778,70,75,60,81,75,90,100,97.6875,74.25925926,82.69513889,B
286,70,70,55,65,72.5,58,47,60,80,12,91.66666667,55.55555556,75,100,65.6,58.05,82,64.5,100,63.4375,76.85185185,68.19152778,C-
287,82.5,77.5,100,90,95,93,84,100,85,12,100,77.77777778,85,45,59.2,70.2,74,78,100,90.5625,69.25925926,76.94763889,C
288,100,85,100,100,100,87,97,90,100,12,66.66666667,100,85,90,64,66.15,80,73.5,100,94.875,91.66666667,81.55,B-
289,82.5,100,92.5,80,100,99,100,80,100,12,100,100,90,100,71.2,89.1,89,99,100,93.9375,96.66666667,89.19625,A-
290,0,80,100,95,78,90,77,75,97,11,83.33333333,66.66666667,55,85,58.4,59.85,73,66.5,91.66666667,86.5,68.88888889,72.0925,C
291,77.5,0,92.5,90,85,66,48,70,85,12,50,50,25,30,28,40.05,35,44.5,100,67.0625,35,50.98125,D
292,92.5,72.5,72.5,30,0,83,100,0,85,12,58.33333333,44.44444444,35,15,20.8,18.45,26,20.5,100,55.375,31.48148148,40.10722222,F
293,92.5,100,100,100,100,99,97,100,85,12,91.66666667,100,95,100,71.2,79.65,89,88.5,100,97.625,98.33333333,88.19,A-
294,73.5,85,95,90,99,88,97,90,100,12,50,77.77777778,45,70,75.2,64.8,94,72,100,93,64.25925926,78.77888889,C+
295,92.5,100,100,100,100,100,92,0,95,12,91.66666667,94.44444444,75,100,78.4,80.1,98,89,100,85.875,89.81481481,84.93972222,B
296,92.5,92.5,97.5,80,97,100,89,90,60,11,87.5,66.66666667,30,70,51.2,44.1,64,49,91.66666667,88.25,55.55555556,65.24,C-
297,52.5,47.5,97.5,75,65,81,79,90,65,10,75,44.44444444,40,75,39.2,60.3,49,67,83.33333333,75,53.14814815,61.72055556,C-
298,77.5,92.5,77.5,90,93,90,90,55,65,11,66.66666667,44.44444444,30,50,64,49.05,80,54.5,91.66666667,81.625,41.48148148,64.93888889,C-
299,72.5,65,90,70,75,84,65,80,85,11,83.33333333,61.11111111,80,95,64,71.1,80,79,91.66666667,76.75,78.7037037,74.57222222,C
300,78.5,0,72.5,90,95,87,97,100,100,11,50,77.77777778,85,65,56,60.75,70,67.5,91.66666667,80.1875,75.92592593,70.99930556,C
301,80,100,95,70,87.5,90,96,100,85,12,91.66666667,61.11111111,55,95,61.6,80.55,77,89.5,100,90.4375,70.37037037,80.14430556,B-
302,62.5,0,77.5,90,100,98,100,90,100,12,100,94.44444444,35,90,76,74.25,95,82.5,100,81.9375,73.14814815,79.31597222,C+
303,94,100,100,90,100,99,100,95,95,12,91.66666667,77.77777778,80,90,56.8,65.25,71,72.5,100,97.375,82.59259259,79.27388889,C+
304,66,85,90,90,100,0,65,95,100,12,83.33333333,22.22222222,75,65,42.4,36.9,53,41,100,78.125,54.07407407,59.25361111,D
305,77.5,85,85,60,100,100,86,100,80,12,75,83.33333333,75,65,44,60.3,55,67,100,87,74.44444444,71.14166667,C
306,87.5,77.5,100,95,95,100,0,75,75,12,95.83333333,88.88888889,75,100,67.2,72.9,84,81,100,77.1875,87.96296296,78.01569444,C+
307,99.5,100,100,90,72.5,100,97,100,98,12,91.66666667,100,75,90,56,70.2,70,78,100,94.6875,88.33333333,80.40625,B-
308,82.5,100,95,80,95,96,100,80,85,12,100,77.77777778,85,90,72,76.5,90,85,100,91.375,84.25925926,83.57638889,B
309,85,95,85,100,100,98,88,90,85,12,100,50,65,95,64.8,67.5,81,75,100,92.625,70,78.1225,C+
310,52.5,92.5,97.5,0,91.25,0,0,0,0,10,58.33333333,0,0,0,43.2,20.7,54,23,83.33333333,35.15625,0,32.69520833,F
311,87.5,77.5,100,60,100,89,83,80,80,12,83.33333333,77.77777778,65,80,59.2,71.55,74,79.5,100,83.6875,74.25925926,75.97263889,C
312,92.5,100,95,100,100,99,100,85,98,12,100,88.88888889,75,95,80,84.15,100,93.5,100,97.125,86.2962963,89.11944444,A-
313,47.5,72.5,92.5,95,100,88.5,80,82.5,100,12,75,61.11111111,45,100,47.2,62.1,59,69,100,88.875,68.7037037,71.93305556,C
314,98,94,77.5,90,95,97,100,90,99,12,91.66666667,72.22222222,55,75,60.8,48.6,76,54,100,92.8125,67.40740741,72.26486111,C
315,80.5,85,100,90,95,96,86,60,100,12,66.66666667,77.77777778,75,95,76.8,66.15,96,73.5,100,89,82.59259259,80.98638889,B-
316,60,0,90,0,0,91,0,47.5,66,11,75,72.22222222,30,100,62.4,53.55,78,59.5,91.66666667,36.8125,67.40740741,56.18902778,D
317,0,50,42.5,80,100,83,71,75,50,12,66.66666667,61.11111111,55,35,14.4,39.6,18,44,100,68.9375,50.37037037,51.01680556,D
318,92.5,85,100,70,90,96,100,100,100,11,75,66.66666667,45,95,67.2,64.8,84,72,91.66666667,92.625,68.88888889,76.9275,C
319,92.5,100,100,100,100,0,90,100,100,11,91.66666667,61.11111111,65,80,78.4,75.6,98,84,91.66666667,86.25,68.7037037,79.92722222,B-
320,87.5,100,97.5,100,90,80,100,80,94,12,75,72.22222222,60,75,54.4,53.1,68,59,100,92.6875,69.07407407,72.32236111,C
321,65,100,90,90,100,99,86,72.5,75,12,100,88.88888889,80,95,71.2,72.9,89,81,100,89.0625,87.96296296,82.37819444,B
322,92.5,100,100,100,95,100,86,100,80,12,95.83333333,72.22222222,60,100,62.4,74.25,78,82.5,100,95.125,77.40740741,81.19111111,B-
323,82.5,100,95,100,0,100,92,100,100,12,58.33333333,100,65,80,68.8,63.9,86,71,100,85.875,81.66666667,77.7475,C+
324,0,75,67.5,90,80,71,0,50,0,8,83.33333333,61.11111111,25,35,64,44.55,80,49.5,66.66666667,54.1875,40.37037037,52.91597222,D
325,82.5,87.5,85,35,60,95,87,100,85,11,58.33333333,94.44444444,95,100,71.2,81,89,90,91.66666667,79.3125,96.48148148,81.92263889,B-
326,82.5,100,85,90,95,85,90,100,82.5,12,100,55.55555556,65,75,46.4,71.1,58,79,100,90.9375,65.18518519,74.11402778,C
327,72.5,100,100,100,100,80,76,85,98,12,91.66666667,72.22222222,70,100,74.4,80.1,93,89,100,92.375,80.74074074,84.72861111,B
328,72.5,70,100,90,100,95,97,100,85,12,100,88.88888889,75,80,72,75.15,90,83.5,100,92.125,81.2962963,83.01944444,B
329,0,0,0,10,0,0,53.5,70,32,9,33.33333333,0,55,45,32.8,56.7,41,63,75,20.6875,33.33333333,39.44125,F
330,88.5,99,0,0,85,0,0,85,85,12,75,50,80,70,57.6,50.85,72,56.5,100,44.25,66.66666667,57.5075,D
331,95,95,100,100,95,99,100,100,100,12,91.66666667,88.88888889,65,100,65.6,81,82,90,100,98.625,84.62962963,85.65194444,B
332,72.5,92.5,100,90,95,89,83,95,100,12,91.66666667,22.22222222,60,75,60.8,57.15,76,63.5,100,93.0625,52.40740741,72.22736111,C
333,100,85,100,100,100,99,97,85,95,12,100,100,100,100,80,89.1,100,99,100,95.125,100,91.8125,A
334,92.5,75,100,100,96.25,96,100,90,100,12,75,88.88888889,70,90,61.6,74.7,77,83,100,94.65625,82.96296296,81.83631944,B-
