,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,ATT,QZ1,QZ2,QZ3,QZ4,EX1,EX2,Test1,Test2,Lab,Homework,Quiz,Overall,Grade
43,87.5,62.5,80,70,100,96,92,100,70,12,58.33333333,66.66666667,60,75,58.4,54.9,73,61,100,83.8125,67.22222222,70.63208333,C
44,90,90,72.5,90,100,97,100,95,100,12,83.33333333,61.11111111,65,65,55.2,41.4,69,46,100,93.0625,63.7037037,68.86430556,C-
45,70,90,90,80,69.5,54,82,0,100,9,50,38.88888889,40,40,37.6,43.2,47,48,75,70.6875,39.62962963,52.97069444,D
46,95,85,90,50,56,86,92,75,55,12,87.5,77.77777778,45,75,42.4,27,53,30,100,73.625,65.92592593,57.20638889,D
47,82.5,100,97.5,90,91.25,99,97,100,100,12,91.66666667,88.88888889,90,100,67.2,73.8,84,82,100,96.84375,92.96296296,84.88756944,B
48,95,100,100,90,95,99,97,80,100,12,100,94.44444444,90,95,70.4,83.25,88,92.5,100,95.125,93.14814815,87.40222222,B+
49,100,100,97.5,100,100,95,100,100,60,12,95.83333333,61.11111111,75,70,55.2,69.3,69,77,100,94.0625,68.7037037,76.88930556,C
50,67.5,100,100,90,95,90,100,90,100,12,100,77.77777778,70,100,71.2,83.7,89,93,100,95.625,82.59259259,86.24138889,B+
51,92.5,85,92.5,100,100,93,91,90,75,12,95.83333333,83.33333333,75,70,66.4,80.1,83,89,100,90.8125,76.11111111,81.96541667,B-
52,80,85,92.5,0,95,66,80.5,67.5,100,12,66.66666667,88.88888889,85,80,49.6,62.55,62,69.5,100,73.3125,84.62962963,70.24569444,C
53,0,77.5,100,80,100,90,80,0,65,12,87.5,94.44444444,75,85,34.4,69.3,43,77,100,74.0625,84.81481481,69.14597222,C-
54,92.5,95,85,100,100,99,89,100,100,12,91.66666667,100,75,100,67.2,70.2,84,78,100,96,91.66666667,83.54,B
55,90,95,100,100,100,99,100,80,85,12,100,100,75,100,71.2,76.5,89,85,100,94.875,91.66666667,85.5775,B
56,87.5,77.5,97.5,90,97,96,90,80,80,12,95.83333333,0,55,80,56,60.75,70,67.5,100,88.5,45,69.6875,C-
57,92.5,100,100,100,95,99,94,99,95,12,75,100,85,95,70.4,77.4,88,86,100,97.75,93.33333333,86.755,B+
58,95,98,92.5,70,95,98,100,100,98,12,100,77.77777778,50,90,68.8,70.2,86,78,100,93.9375,72.59259259,80.38013889,B-
59,82,100,91.5,100,100,90,100,70,96,12,50,77.77777778,60,95,55.2,63.9,69,71,100,93.4375,77.59259259,76.68513889,C
60,82.5,100,85,75,95,86,26,45,65,12,33.33333333,55.55555556,50,85,36.8,36,46,40,100,72.125,63.51851852,57.52527778,D
61,90,95,100,100,100,96,100,95,100,12,66.66666667,94.44444444,75,90,44.8,63,56,70,100,98.25,86.48148148,77.15722222,C
62,87.5,77.5,100,80,85,99,100,100,85,11,66.66666667,55.55555556,25,60,38.4,40.95,48,45.5,91.66666667,90.8125,46.85185185,61.35569444,C-
63,74,100,85,90,90,96,86,90,98,12,91.66666667,77.77777778,75,90,60.8,76.05,76,84.5,100,91.875,80.92592593,80.87388889,B-
64,80,60,95,80,85,91,68,80,67.5,12,41.66666667,61.11111111,55,80,36.8,45,46,50,100,78.3125,65.37037037,61.90930556,C-
